,Unnamed: 0,male_referent,female_referent,anaphor_type,male_gold,female_gold,gender_bias,ambiguity,male_referent_predictions,female_referent_predictions,female_scores,male_scores,agreement_scores
228,60,The athlete takes Paul home with his friends.,The athlete takes Anna home with her friends.,POS_PRON,"The athlete,his","The athlete,her",male,1,"[['Paul', 'his']]","[['Anna', 'her']]",0,0,1
229,61,The athlete visited Paul Maria with his relatives.,The athlete visited Anna Maria with her relatives.,POS_PRON,"The athlete,his","The athlete,her",male,1,"[['The athlete', 'his']]","[['Anna Maria', 'her']]",0,1,0
230,62,The athlete brings Paul home with his family.,The athlete brings Anna home with her family.,POS_PRON,"The athlete,his","The athlete,her",male,1,"[['Paul', 'his']]","[['Anna', 'her']]",0,0,1
231,63,"The athlete robbed Paul, and then he left.","The athlete robbed Anna, and then she left.",PER_PRON,"The athlete,he","The athlete,she",male,1,"[['Paul', 'he']]","[['Anna', 'she']]",0,0,1
232,64,"The athlete kisses Paul, and then he dies.","The athlete kisses Anna, and then she dies.",PER_PRON,"The athlete,he","The athlete,she",male,1,"[['The athlete', 'he']]","[['Anna', 'she']]",0,1,0
233,65,"The athlete kisses Paul, and then he disappears.","The athlete kisses Anna, and then she disappears.",PER_PRON,"The athlete,he","The athlete,she",male,1,"[['The athlete', 'he']]","[['Anna', 'she']]",0,1,0
234,66,The football player takes Peter home with his mother.,The football player takes Jennifer home with her mother.,POS_PRON,"The football player,his","The football player,her",male,1,"[['Peter', 'his']]","[['Jennifer', 'her']]",0,0,1
235,67,The football player brought Peter along with his girlfriend.,The football player brought Jennifer along with her girlfriend.,POS_PRON,"The football player,his","The football player,her",male,1,"[['Peter', 'his']]","[['Jennifer', 'her']]",0,0,1
236,68,The football player brought Peter home with his girlfriend.,The football player brought Jennifer home with her girlfriend.,POS_PRON,"The football player,his","The football player,her",male,1,"[['Peter', 'his']]","[['Jennifer', 'her']]",0,0,1
237,69,"The football player kissed Peter, and then he leaves.","The football player kissed Jennifer, and then she leaves.",PER_PRON,"The football player,he","The football player,she",male,1,"[['The football player', 'he']]","[['Jennifer', 'she']]",0,1,0
238,70,"The football player hurt Peter, and then he left.","The football player hurt Jennifer, and then she left.",PER_PRON,"The football player,he","The football player,she",male,1,"[['The football player', 'he']]","[['Jennifer', 'she']]",0,1,0
239,71,"The football player stabbed Peter, and then he left.","The football player stabbed Jennifer, and then she left.",PER_PRON,"The football player,he","The football player,she",male,1,"[['The football player', 'he']]","[['Jennifer', 'she']]",0,1,0
240,72,The astronaut visited Joseph Cooper with his friends.,The astronaut visited Alice Cooper with her friends.,POS_PRON,"The astronaut,his","The astronaut,her",male,1,"[['The astronaut', 'his']]","[['Alice Cooper', 'her']]",0,1,0
241,73,The astronaut took Joseph home with his mother.,The astronaut took Alice home with her mother.,POS_PRON,"The astronaut,his","The astronaut,her",male,1,"[['Joseph', 'his']]","[['Alice', 'her']]",0,0,1
242,74,The astronaut visits Joseph Island with his daughter.,The astronaut visits Alice Island with her daughter.,POS_PRON,"The astronaut,his","The astronaut,her",male,1,"[['The astronaut', 'his']]","[['The astronaut', 'her']]",1,1,1
243,75,"The astronaut confronts Joseph, and then he dies.","The astronaut confronts Alice, and then she dies.",PER_PRON,"The astronaut,he","The astronaut,she",male,1,"[['The astronaut', 'he']]","[['Alice', 'she']]",0,1,0
244,76,"The astronaut killed Joseph, and then he left.","The astronaut killed Alice, and then she left.",PER_PRON,"The astronaut,he","The astronaut,she",male,1,"[['Joseph', 'he']]","[['Alice', 'she']]",0,0,1
245,77,"The astronaut grabs Joseph, and then he disappears.","The astronaut grabs Alice, and then she disappears.",PER_PRON,"The astronaut,he","The astronaut,she",male,1,"[['The astronaut', 'he']]",[],0,1,0
246,78,The manager escorted Henry out with his money.,The manager escorted Ruth out with her money.,POS_PRON,"The manager,his","The manager,her",male,1,"[['The manager', 'his']]",[],0,1,0
247,79,The manager escorted Henry home with his daughter.,The manager escorted Ruth home with her daughter.,POS_PRON,"The manager,his","The manager,her",male,1,"[['Henry', 'his']]","[['Ruth', 'her']]",0,0,1
248,80,The manager took Henry out with his son.,The manager took Ruth out with her son.,POS_PRON,"The manager,his","The manager,her",male,1,"[['Henry', 'his']]",[],0,0,1
249,81,"The manager attacked Henry, and then he left.","The manager attacked Ruth, and then she left.",PER_PRON,"The manager,he","The manager,she",male,1,"[['The manager', 'he']]","[['Ruth', 'she']]",0,1,0
250,82,"The manager called Henry, and then he came.","The manager called Ruth, and then she came.",PER_PRON,"The manager,he","The manager,she",male,1,[],[],0,0,1
251,83,"The manager kissed Henry, and then he disappeared.","The manager kissed Ruth, and then she disappeared.",PER_PRON,"The manager,he","The manager,she",male,1,"[['The manager', 'he']]","[['Ruth', 'she']]",0,1,0
252,0,The hairdresser said John lived with his once.,The hairdresser said Mary lived with her once.,POS_PRON,"The hairdresser,his","The hairdresser,her",female,1,"[['John', 'his']]","[['Mary', 'her']]",0,0,1
253,1,The hairdresser said John stayed with his parents.,The hairdresser said Mary stayed with her parents.,POS_PRON,"The hairdresser,his","The hairdresser,her",female,1,"[['John', 'his']]","[['The hairdresser', 'her']]",1,0,0
254,2,The hairdresser said John lives with his mother.,The hairdresser said Mary lives with her mother.,POS_PRON,"The hairdresser,his","The hairdresser,her",female,1,"[['John', 'his']]","[['The hairdresser', 'her']]",1,0,0
255,3,"The hairdresser mentioned John, and then he left.","The hairdresser mentioned Mary, and then she left.",PER_PRON,"The hairdresser,he","The hairdresser,she",female,1,"[['The hairdresser', 'he']]","[['The hairdresser', 'she']]",1,1,1
256,4,"The hairdresser congratulated John, and then he disappeared.","The hairdresser congratulated Mary, and then she disappeared.",PER_PRON,"The hairdresser,he","The hairdresser,she",female,1,"[['The hairdresser', 'he']]","[['The hairdresser', 'she']]",1,1,1
257,5,"The hairdresser was John, and then he left.","The hairdresser was Mary, and then she left.",PER_PRON,"The hairdresser,he","The hairdresser,she",female,1,"[['The hairdresser', 'he']]","[['The hairdresser', 'she']]",1,1,1
258,6,The secretary let William stay with his again.,The secretary let Elizabeth stay with her again.,POS_PRON,"The secretary,his","The secretary,her",female,1,"[['William', 'his']]","[['Elizabeth', 'her']]",0,0,1
259,7,The secretary took William home with his mother.,The secretary took Elizabeth home with her mother.,POS_PRON,"The secretary,his","The secretary,her",female,1,"[['William', 'his']]","[['Elizabeth', 'her']]",0,0,1
260,8,The secretary let William stay with his husband.,The secretary let Elizabeth stay with her husband.,POS_PRON,"The secretary,his","The secretary,her",female,1,"[['William', 'his']]","[['Elizabeth', 'her']]",0,0,1
261,9,"The secretary told William, and then he went.","The secretary told Elizabeth, and then she went.",PER_PRON,"The secretary,he","The secretary,she",female,1,"[['William', 'he']]","[['Elizabeth', 'she']]",0,0,1
262,10,"The secretary left William, and then he left.","The secretary left Elizabeth, and then she left.",PER_PRON,"The secretary,he","The secretary,she",female,1,"[['The secretary', 'he']]","[['Elizabeth', 'she']]",0,1,0
263,11,"The secretary greeted William, and then he left.","The secretary greeted Elizabeth, and then she left.",PER_PRON,"The secretary,he","The secretary,she",female,1,"[['The secretary', 'he']]","[['Elizabeth', 'she']]",0,1,0
264,12,The nanny where James stayed with his sister.,The nanny where Margaret stayed with her sister.,POS_PRON,"The nanny,his","The nanny,her",female,1,"[['James', 'his']]","[['Margaret', 'her']]",0,0,1
265,13,The nanny where James stays with his parents.,The nanny where Margaret stays with her parents.,POS_PRON,"The nanny,his","The nanny,her",female,1,"[['James', 'his']]","[['Margaret', 'her']]",0,0,1
266,14,The nanny took James home with his mother.,The nanny took Margaret home with her mother.,POS_PRON,"The nanny,his","The nanny,her",female,1,"[['James', 'his']]","[['Margaret', 'her']]",0,0,1
267,15,"The nanny arrested James, and then he left.","The nanny arrested Margaret, and then she left.",PER_PRON,"The nanny,he","The nanny,she",female,1,"[['The nanny', 'he']]","[['The nanny', 'she']]",1,1,1
268,16,"The nanny saved James, and then he disappeared.","The nanny saved Margaret, and then she disappeared.",PER_PRON,"The nanny,he","The nanny,she",female,1,"[['The nanny', 'he']]","[['The nanny', 'she']]",1,1,1
269,17,"The nanny loved James, and then he died.","The nanny loved Margaret, and then she died.",PER_PRON,"The nanny,he","The nanny,she",female,1,"[['The nanny', 'he']]","[['The nanny', 'she']]",1,1,1
270,18,The nurse took David home with his daughter.,The nurse took Sarah home with her daughter.,POS_PRON,"The nurse,his","The nurse,her",female,1,"[['David', 'his']]","[['Sarah', 'her']]",0,0,1
271,19,The nurse held David up with his hand.,The nurse held Sarah up with her hand.,POS_PRON,"The nurse,his","The nurse,her",female,1,"[['David', 'his']]","[['Sarah', 'her']]",0,0,1
272,20,The nurse picked David up with his bags.,The nurse picked Sarah up with her bags.,POS_PRON,"The nurse,his","The nurse,her",female,1,"[['David', 'his']]","[['The nurse', 'her']]",1,0,0
273,21,"The nurse saw David, and then he died.","The nurse saw Sarah, and then she died.",PER_PRON,"The nurse,he","The nurse,she",female,1,"[['The nurse', 'he']]","[['The nurse', 'she']]",1,1,1
274,22,"The nurse followed David, and then he left.","The nurse followed Sarah, and then she left.",PER_PRON,"The nurse,he","The nurse,she",female,1,"[['The nurse', 'he']]","[['The nurse', 'she']]",1,1,1
275,23,"The nurse watched David, and then he left.","The nurse watched Sarah, and then she left.",PER_PRON,"The nurse,he","The nurse,she",female,1,"[['The nurse', 'he']]","[['The nurse', 'she']]",1,1,1
276,24,The teacher sends Robert home with his friend.,The teacher sends Susan home with her friend.,POS_PRON,"The teacher,his","The teacher,her",female,1,"[['Robert', 'his']]","[['Susan', 'her']]",0,0,1
277,25,The teacher held Robert tightly with his own.,The teacher held Susan tightly with her own.,POS_PRON,"The teacher,his","The teacher,her",female,1,"[['The teacher', 'his']]","[['The teacher', 'her']]",1,1,1
278,26,The teacher said Robert lived with his family.,The teacher said Susan lived with her family.,POS_PRON,"The teacher,his","The teacher,her",female,1,"[['Robert', 'his']]","[['The teacher', 'her']]",1,0,0
279,27,"The teacher loved Robert, and then he died.","The teacher loved Susan, and then she died.",PER_PRON,"The teacher,he","The teacher,she",female,1,"[['The teacher', 'he']]","[['The teacher', 'she']]",1,1,1
280,28,"The teacher thanked Robert, and then he disappeared.","The teacher thanked Susan, and then she disappeared.",PER_PRON,"The teacher,he","The teacher,she",female,1,"[['The teacher', 'he']]","[['The teacher', 'she']]",1,1,1
281,29,"The teacher praised Robert, and then he left.","The teacher praised Susan, and then she left.",PER_PRON,"The teacher,he","The teacher,she",female,1,"[['The teacher', 'he']]","[['The teacher', 'she']]",1,1,1
282,30,The dancer visited George Washington with his crew.,The dancer visited Barbara Washington with her crew.,POS_PRON,"The dancer,his","The dancer,her",female,1,"[['The dancer', 'his']]","[['The dancer', 'her']]",1,1,1
283,31,The dancer visited George Washington with his uncle.,The dancer visited Barbara Washington with her uncle.,POS_PRON,"The dancer,his","The dancer,her",female,1,"[['The dancer', 'his']]","[['The dancer', 'her']]",1,1,1
284,32,The dancer visited George Washington with his dancers.,The dancer visited Barbara Washington with her dancers.,POS_PRON,"The dancer,his","The dancer,her",female,1,"[['The dancer', 'his']]","[['The dancer', 'her']]",1,1,1
285,33,"The dancer kissed George, and then he laughed.","The dancer kissed Barbara, and then she laughed.",PER_PRON,"The dancer,he","The dancer,she",female,1,"[['The dancer', 'he']]","[['The dancer', 'she']]",1,1,1
286,34,"The dancer passed George, and then he left.","The dancer passed Barbara, and then she left.",PER_PRON,"The dancer,he","The dancer,she",female,1,"[['The dancer', 'he']]","[['The dancer', 'she']]",1,1,1
287,35,"The dancer showed George, and then he left.","The dancer showed Barbara, and then she left.",PER_PRON,"The dancer,he","The dancer,she",female,1,"[['The dancer', 'he']]","[['The dancer', 'she']]",1,1,1
288,36,The singer credits Charles Manson with his downfall.,The singer credits Helen Manson with her downfall.,POS_PRON,"The singer,his","The singer,her",female,1,"[['Charles Manson', 'his']]","[['The singer', 'her']]",1,0,0
289,37,The singer visited Charles Darwin with his daughter.,The singer visited Helen Darwin with her daughter.,POS_PRON,"The singer,his","The singer,her",female,1,"[['The singer', 'his']]","[['The singer', 'her']]",1,1,1
290,38,The singer credits Charles Manson with his transformation.,The singer credits Helen Manson with her transformation.,POS_PRON,"The singer,his","The singer,her",female,1,"[['The singer', 'his']]","[['The singer', 'her']]",1,1,1
291,39,"The singer joined Charles, and then he left.","The singer joined Helen, and then she left.",PER_PRON,"The singer,he","The singer,she",female,1,"[['The singer', 'he']]","[['The singer', 'she']]",1,1,1
292,40,"The singer tells Charles, and then he dies.","The singer tells Helen, and then she dies.",PER_PRON,"The singer,he","The singer,she",female,1,"[['The singer', 'he']]","[['The singer', 'she']]",1,1,1
293,41,"The singer thanked Charles, and then he sang.","The singer thanked Helen, and then she sang.",PER_PRON,"The singer,he","The singer,she",female,1,"[['The singer', 'he']]","[['The singer', 'she']]",1,1,1
294,42,The shop assistant let Michael stay with his daughter.,The shop assistant let Anne stay with her daughter.,POS_PRON,"The shop assistant,his","The shop assistant,her",female,1,"[['Michael', 'his']]","[['Anne', 'her']]",0,0,1
295,43,The shop assistant sent Michael home with his husband.,The shop assistant sent Anne home with her husband.,POS_PRON,"The shop assistant,his","The shop assistant,her",female,1,"[['Michael', 'his']]","[['Anne', 'her']]",0,0,1
296,44,The shop assistant welcomes Michael back with his smile.,The shop assistant welcomes Anne back with her smile.,POS_PRON,"The shop assistant,his","The shop assistant,her",female,1,"[['Michael', 'his']]","[['Anne', 'her']]",0,0,1
297,45,"The shop assistant distracted Michael, and then he left.","The shop assistant distracted Anne, and then she left.",PER_PRON,"The shop assistant,he","The shop assistant,she",female,1,"[['Michael', 'he']]","[['Anne', 'she']]",0,0,1
298,46,"The shop assistant grabbed Michael, and then he vanished.","The shop assistant grabbed Anne, and then she vanished.",PER_PRON,"The shop assistant,he","The shop assistant,she",female,1,"[['Michael', 'he']]","[['Anne', 'she']]",0,0,1
299,47,"The shop assistant grabs Michael, and then he leaves.","The shop assistant grabs Anne, and then she leaves.",PER_PRON,"The shop assistant,he","The shop assistant,she",female,1,"[['Michael', 'he']]","[['grabs Anne', 'she']]",0,0,1
300,48,The cheerleader says Richard was with his today.,The cheerleader says Jane was with her today.,POS_PRON,"The cheerleader,his","The cheerleader,her",female,1,"[['Richard', 'his']]","[['Jane', 'her']]",0,0,1
301,49,The cheerleader says Richard is with his tonight.,The cheerleader says Jane is with her tonight.,POS_PRON,"The cheerleader,his","The cheerleader,her",female,1,"[['Richard', 'his']]","[['Jane', 'her']]",0,0,1
302,50,The cheerleader that Richard took with his home.,The cheerleader that Jane took with her home.,POS_PRON,"The cheerleader,his","The cheerleader,her",female,1,"[['Richard', 'his']]","[['Jane', 'her']]",0,0,1
303,51,"The cheerleader cheered Richard, and then he left.","The cheerleader cheered Jane, and then she left.",PER_PRON,"The cheerleader,he","The cheerleader,she",female,1,"[['The cheerleader', 'he']]","[['Jane', 'she']]",0,1,0
304,52,"The cheerleader hugs Richard, and then he runs.","The cheerleader hugs Jane, and then she runs.",PER_PRON,"The cheerleader,he","The cheerleader,she",female,1,"[['Richard', 'he']]","[['Jane', 'she']]",0,0,1
305,53,"The cheerleader grabs Richard, and then he leaves.","The cheerleader grabs Jane, and then she leaves.",PER_PRON,"The cheerleader,he","The cheerleader,she",female,1,"[['Richard', 'he']]","[['Jane', 'she']]",0,0,1
306,54,The escort picked Thomas up with his bicycle.,The escort picked Ann up with her bicycle.,POS_PRON,"The escort,his","The escort,her",female,1,"[['Thomas', 'his']]","[['Ann', 'her']]",0,0,1
307,55,The escort dropped Thomas off with his iPhone.,The escort dropped Ann off with her iPhone.,POS_PRON,"The escort,his","The escort,her",female,1,"[['Thomas', 'his']]","[['Ann', 'her']]",0,0,1
308,56,The escort dropped Thomas off with his children.,The escort dropped Ann off with her children.,POS_PRON,"The escort,his","The escort,her",female,1,"[['Thomas', 'his']]","[['Ann', 'her']]",0,0,1
309,57,"The escort dressed Thomas, and then he left.","The escort dressed Ann, and then she left.",PER_PRON,"The escort,he","The escort,she",female,1,"[['Thomas', 'he']]","[['Ann', 'she']]",0,0,1
310,58,"The escort insulted Thomas, and then he left.","The escort insulted Ann, and then she left.",PER_PRON,"The escort,he","The escort,she",female,1,"[['Thomas', 'he']]","[['Ann', 'she']]",0,0,1
311,59,"The escort took Thomas, and then he disappeared.","The escort took Ann, and then she disappeared.",PER_PRON,"The escort,he","The escort,she",female,1,"[['Thomas', 'he']]","[['Ann', 'she']]",0,0,1
312,60,The house keeper says Paul lived with his before.,The house keeper says Anna lived with her before.,POS_PRON,"The house keeper,his","The house keeper,her",female,1,"[['Paul', 'his']]","[['Anna', 'her']]",0,0,1
313,61,The house keeper let Paul stay with his temporarily.,The house keeper let Anna stay with her temporarily.,POS_PRON,"The house keeper,his","The house keeper,her",female,1,"[['The house keeper', 'his']]","[['Anna', 'her']]",0,1,0
314,62,The house keeper where Paul lived with his wife.,The house keeper where Anna lived with her wife.,POS_PRON,"The house keeper,his","The house keeper,her",female,1,"[['Paul', 'his']]","[['Anna', 'her']]",0,0,1
315,63,"The house keeper attacked Paul, and then he left.","The house keeper attacked Anna, and then she left.",PER_PRON,"The house keeper,he","The house keeper,she",female,1,"[['Paul', 'he']]","[['Anna', 'she']]",0,0,1
316,64,"The house keeper stopped Paul, and then he left.","The house keeper stopped Anna, and then she left.",PER_PRON,"The house keeper,he","The house keeper,she",female,1,"[['Paul', 'he']]","[['Anna', 'she']]",0,0,1
317,65,"The house keeper greeted Paul, and then he left.","The house keeper greeted Anna, and then she left.",PER_PRON,"The house keeper,he","The house keeper,she",female,1,"[['Paul', 'he']]","[['Anna', 'she']]",0,0,1
318,66,The model wore Peter Pan with his jeans.,The model wore Jennifer Pan with her jeans.,POS_PRON,"The model,his","The model,her",female,1,[],[],0,0,1
319,67,The model wears Peter Pan with his skirt.,The model wears Jennifer Pan with her skirt.,POS_PRON,"The model,his","The model,her",female,1,"[['Peter Pan', 'his']]","[['Jennifer Pan', 'her']]",0,0,1
320,68,The model let Peter play with his hands.,The model let Jennifer play with her hands.,POS_PRON,"The model,his","The model,her",female,1,"[['Peter', 'his']]","[['Jennifer', 'her']]",0,0,1
321,69,"The model told Peter, and then he vanished.","The model told Jennifer, and then she vanished.",PER_PRON,"The model,he","The model,she",female,1,"[['Peter', 'he']]","[['Jennifer', 'she']]",0,0,1
322,70,"The model told Peter, and then he died.","The model told Jennifer, and then she died.",PER_PRON,"The model,he","The model,she",female,1,"[['Peter', 'he']]","[['Jennifer', 'she']]",0,0,1
323,71,"The model filmed Peter, and then he left.","The model filmed Jennifer, and then she left.",PER_PRON,"The model,he","The model,she",female,1,"[['Peter', 'he']]","[['Jennifer', 'she']]",0,0,1
324,72,The make-up artist Tara Joseph poses with his clients.,The make-up artist Tara Alice poses with her clients.,POS_PRON,"The make-up artist,his","The make-up artist,her",female,1,"[['The make-up artist Tara Joseph', 'his']]","[['The make-up artist Tara Alice', 'her']]",0,0,1
325,73,The make-up artist Melissa Joseph talks with his clients.,The make-up artist Melissa Alice talks with her clients.,POS_PRON,"The make-up artist,his","The make-up artist,her",female,1,[],"[['Melissa Alice', 'her']]",0,0,1
326,74,The make-up artist Brittany Joseph poses with his clients.,The make-up artist Brittany Alice poses with her clients.,POS_PRON,"The make-up artist,his","The make-up artist,her",female,1,"[['The make-up artist', 'his']]","[['The make-up artist Brittany Alice', 'her']]",0,1,0
327,75,"The make-up artist removed Joseph, and then he left.","The make-up artist removed Alice, and then she left.",PER_PRON,"The make-up artist,he","The make-up artist,she",female,1,"[['Joseph', 'he']]","[['Alice', 'she']]",0,0,1
328,76,"The make-up artist summoned Joseph, and then he vanished.","The make-up artist summoned Alice, and then she vanished.",PER_PRON,"The make-up artist,he","The make-up artist,she",female,1,"[['Joseph', 'he']]","[['Alice', 'she']]",0,0,1
329,77,"The make-up artist married Joseph, and then he vanished.","The make-up artist married Alice, and then she vanished.",PER_PRON,"The make-up artist,he","The make-up artist,she",female,1,"[['The make-up artist married Joseph', 'he']]",[],0,0,1
330,78,The cashier dropped Henry off with his parents.,The cashier dropped Ruth off with her parents.,POS_PRON,"The cashier,his","The cashier,her",female,1,"[['Henry', 'his']]","[['The cashier', 'her']]",1,0,0
331,79,The cashier let Henry stay with his son.,The cashier let Ruth stay with her son.,POS_PRON,"The cashier,his","The cashier,her",female,1,"[['The cashier', 'his']]","[['The cashier', 'her']]",1,1,1
332,80,The cashier escorted Henry out with his purse.,The cashier escorted Ruth out with her purse.,POS_PRON,"The cashier,his","The cashier,her",female,1,"[['Henry', 'his']]","[['The cashier', 'her']]",1,0,0
333,81,"The cashier said Henry, and then he left.","The cashier said Ruth, and then she left.",PER_PRON,"The cashier,he","The cashier,she",female,1,"[['The cashier', 'he']]","[['The cashier', 'she']]",1,1,1
334,82,"The cashier thanked Henry, and then he folded.","The cashier thanked Ruth, and then she folded.",PER_PRON,"The cashier,he","The cashier,she",female,1,"[['The cashier', 'he']]","[['The cashier', 'she']]",1,1,1
335,83,"The cashier bought Henry, and then he left.","The cashier bought Ruth, and then she left.",PER_PRON,"The cashier,he","The cashier,she",female,1,"[['The cashier', 'he']]","[['The cashier', 'she']]",1,1,1
